Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Barley,Low,72,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,78,Cloudy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,28,Sunny,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,25,Windy,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Low,23,Rainy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,52,Rainy,Severe,Cotton requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,89,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,80,Rainy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,97,Windy,Moderate,Barley requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,120,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,45,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,117,Cloudy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,56,Sunny,Mild,Maize requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,19,Rainy,None,Barley requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,6,Cloudy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,9,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,75,Rainy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,24,Rainy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,28,Rainy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,50,Cloudy,Severe,Wheat requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,79,Cloudy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,41,Windy,Severe,Rice requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,Medium,64,Cloudy,Mild,Maize requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,43,Cloudy,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,50,Cloudy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,99,Rainy,Mild,Barley requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,117,Sunny,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,51,Cloudy,Mild,Rice requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,78,Cloudy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,106,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,51,Sunny,Severe,Cotton requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,82,Windy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Medium,102,Cloudy,None,Millets requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,110,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,12,Sunny,None,Cotton requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,38,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,73,Rainy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,88,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,98,Sunny,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,39,Sunny,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,9,Windy,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,8,Windy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Sugarcane,High,84,Rainy,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,46,Windy,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,High,10,Cloudy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,73,Cloudy,None,Millets requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
